,LocationID,Borough,Zone,address,lat,lon
197,198,Queens,Ridgewood,"Ridgewood,Queens, New York",40.7080556,-73.9141667
198,199,Bronx,Rikers Island,"Rikers Island,Bronx, New York",40.7919318,-73.8834937
199,200,Bronx,Riverdale/North Riverdale/Fieldston,"Riverdale/North Riverdale/Fieldston,Bronx, New York",,
200,201,Queens,Rockaway Park,"Rockaway Park,Queens, New York",40.5805104,-73.8361535
201,202,Manhattan,Roosevelt Island,"Roosevelt Island,Manhattan, New York",40.7613367,-73.9502853
202,203,Queens,Rosedale,"Rosedale,Queens, New York",40.6620479,-73.7354097
203,204,Staten Island,Rossville/Woodrow,"Rossville/Woodrow,Staten Island, New York",40.5417682,-74.2081781
204,205,Queens,Saint Albans,"Saint Albans,Queens, New York",40.6984364,-73.7606881
205,206,Staten Island,Saint George/New Brighton,"Saint George/New Brighton,Staten Island, New York",40.6465873,-74.084937
206,207,Queens,Saint Michaels Cemetery/Woodside,"Saint Michaels Cemetery/Woodside,Queens, New York",,
207,208,Bronx,Schuylerville/Edgewater Park,"Schuylerville/Edgewater Park,Bronx, New York",40.821415,-73.8152477
208,209,Manhattan,Seaport,"Seaport,Manhattan, New York",40.7057505,-74.0029056
209,210,Brooklyn,Sheepshead Bay,"Sheepshead Bay,Brooklyn, New York",40.5912161,-73.9445822
210,211,Manhattan,SoHo,"SoHo,Manhattan, New York",40.72288,-73.9987505
211,212,Bronx,Soundview/Bruckner,"Soundview/Bruckner,Bronx, New York",,
212,213,Bronx,Soundview/Castle Hill,"Soundview/Castle Hill,Bronx, New York",40.8129287,-73.8572657
213,214,Staten Island,South Beach/Dongan Hills,"South Beach/Dongan Hills,Staten Island, New York",40.5841105,-74.1026101
214,215,Queens,South Jamaica,"South Jamaica,Queens, New York",40.6956234,-73.7941863
215,216,Queens,South Ozone Park,"South Ozone Park,Queens, New York",40.6701035,-73.8190231
216,217,Brooklyn,South Williamsburg,"South Williamsburg,Brooklyn, New York",40.7087085,-73.9702219
217,218,Queens,Springfield Gardens North,"Springfield Gardens North,Queens, New York",,
218,219,Queens,Springfield Gardens South,"Springfield Gardens South,Queens, New York",,
219,220,Bronx,Spuyten Duyvil/Kingsbridge,"Spuyten Duyvil/Kingsbridge,Bronx, New York",40.8788687,-73.922173
220,221,Staten Island,Stapleton,"Stapleton,Staten Island, New York",40.6264774,-74.0776361
221,222,Brooklyn,Starrett City,"Starrett City,Brooklyn, New York",40.6478738,-73.8795192
222,223,Queens,Steinway,"Steinway,Queens, New York",40.7802203,-73.9004048
223,224,Manhattan,Stuy Town/Peter Cooper Village,"Stuy Town/Peter Cooper Village,Manhattan, New York",,
